id,chronological_order,working_title,one_line_summary,life_stage,story_arc,characters,locations,themes,source_tier,primary_work,primary_book,primary_chapter,verse_range,festival_tags,age_sensitivity,estimated_story_strength,visual_potential,independent_story_score,source_confidence,variant_notes
DKS_0001,1,"Earth, Oppressed by Demon-Kings, Seeks Brahma","The Earth, burdened by arrogant demon kings, takes the form of a weeping cow and appeals to Brahma for relief.",other,prophecy_of_kamsa,Earth; Brahma,Earth,oppression; deliverance; compassion,A,"Srimad Bhagavata Purana (Sanskrit, GRETIL)",10,1,16-17,,all,3,3,2,5,
DKS_0002,2,Vishnu Promises to Descend into the House of Vasudeva,Brahma and the gods carry the Earth's plea to Vishnu on the milk ocean; a divine voice declares Vishnu will be born in Vasudeva's house and that the gods should descend as helpers.,other,prophecy_of_kamsa,Brahma; Vishnu; gods; Earth,Milk Ocean,divine_will; deliverance; cosmic_order,A,"Srimad Bhagavata Purana (Sanskrit, GRETIL)",10,1,18-24,,all,3,3,2,5,
DKS_0003,3,The Doom Prophecy Warns Kamsa of Devaki's Eighth Child,"At Vasudeva's wedding procession, Kamsa drives the chariot and hears a bodiless voice declare that Devaki's eighth child will slay him.",birth,prophecy_of_kamsa,Kamsa; Vasudeva; Devaki,Mathura,prophecy; fate; fear,A,"Srimad Bhagavata Purana (Sanskrit, GRETIL)",10,1,28-33,Janmashtami,mild_violence,4,4,4,5,BP/VP: a bodiless heavenly voice warns at the wedding; HV: Narada delivers the warning. VP 5.1 also folds in the pacification beat.
DKS_0004,4,Vasudeva Pacifies Kamsa and Promises to Surrender His Sons,"Kamsa seizes Devaki to kill her, but Vasudeva placates him with reasoning and vows to surrender every newborn son to him.",birth,prophecy_of_kamsa,Vasudeva; Kamsa; Devaki,Mathura,diplomacy; fear; protection,A,"Srimad Bhagavata Purana (Sanskrit, GRETIL)",10,1,34-54,,mild_violence,4,3,3,5,See also 'prophecy' (VP 5.1 combines warning + pacification).
DKS_0005,5,Kamsa Imprisons Devaki and Destroys Her Children,"After Narada reveals that the gods are incarnating among the Yadavas, Kamsa imprisons Devaki and Vasudeva and kills each child as it is born.",birth,prophecy_of_kamsa,Kamsa; Devaki; Vasudeva; Narada,Mathura,tyranny; prophecy; suffering,A,"Srimad Bhagavata Purana (Sanskrit, GRETIL)",10,1,55-68,,mild_violence,4,3,3,5,
DKS_0006,6,Kamsa's Ministers Counsel Slaughtering the Righteous,"Kamsa's demon ministers urge him to kill all newborn children and to destroy the brahmanas, cows and all in whom Vishnu dwells.",birth,prophecy_of_kamsa,Kamsa; demon ministers,Mathura,evil_counsel; persecution,A,"Srimad Bhagavata Purana (Sanskrit, GRETIL)",10,4,28-41,,mild_violence,3,3,2,5,
DKS_0007,7,Kamsa Orders the Slaughter of Children and the Pious,"Kamsa dispatches shape-shifting demons across the land to massacre the sages' and infants' protectors, and returns to his palace.",birth,prophecy_of_kamsa,Kamsa; demons,Mathura,tyranny; persecution,A,"Srimad Bhagavata Purana (Sanskrit, GRETIL)",10,4,42-46,,mild_violence,3,3,3,5,VP 5.4 also includes the release of Vasudeva and Devaki.
DKS_0008,8,Vishnu Resolves to Incarnate to Relieve the Earth,"Narada tells Vishnu that the gods' incarnations alone cannot destroy the demons reborn as kings, and urges him to descend himself.",birth,birth_of_krishna,Narada; Vishnu; gods,Sumeru; celestial region,divine counsel; earth's burden,A,"Harivamsha (Dutt, Gutenberg #61937)",1,54,,,all,3,3,3,4,"VP: Earth petitions at Meru and Vishnu plucks black/white hairs; HV: Narada urges Vishnu, Brahma foretells the birth."
DKS_0009,9,Devaki's Seventh Embryo Is Transferred to Rohini (Balarama Born),"The seventh embryo is transferred from Devaki to Rohini by the goddess of sleep, and the child is born as Sankarshana (Balarama).",birth,birth_of_krishna,Devaki; Rohini; goddess of sleep; Balarama,Mathura,divine plan; birth,A,"Harivamsha (Dutt, Gutenberg #61937)",1,59,,,all,3,2,3,4,Execution of the command in 'command_yogamaya'; see also 'conception' (VP 5.2 covers this transfer).
DKS_0010,10,Kamsa Repents and Devaki Forgives Him,"Kansa, ashamed, confesses to Devaki and throws himself at her feet; Devaki forgives him, saying Time alone is the instrument.",birth,birth_of_krishna,Kansa; Devaki,Mathura,repentance; forgiveness,A,"Harivamsha (Dutt, Gutenberg #61937)",1,59,,,all,3,2,3,4,HV-specific; BP 10.4.2 folds repentance into the Yogamaya episode.
DKS_0011,11,The Conception of Devaki and the Six Demon Embryos,"Vishnu enters Vasudeva's mind; Devaki conceives the Lord and glows with brilliance, and Kamsa, though uneasy, refrains from harming her.",birth,birth_of_krishna,Vishnu; Vasudeva; Devaki; Kamsa,Mathura,incarnation; awe; forbearance,A,"Srimad Bhagavata Purana (Sanskrit, GRETIL)",10,2,15-23,Janmashtami,all,4,4,3,5,HV gives the backstory (six Saragarbha demons cursed by Hiranyakashipu); BP omits the six-embryo detail.
DKS_0012,12,The Gods Praise the Unborn Lord in Devaki's Womb,"Brahma, Shiva and the host of gods descend to praise the unborn Lord in Devaki's womb and then depart.",birth,birth_of_krishna,Brahma; Shiva; gods; Devaki,Mathura,devotion; praise,A,"Srimad Bhagavata Purana (Sanskrit, GRETIL)",10,2,24-42,Janmashtami,all,2,3,1,5,
DKS_0013,13,Krishna Is Born at Midnight in the Prison,"At a supremely auspicious hour, with nature rejoicing, Krishna is born of Devaki in the prison at midnight.",birth,birth_of_krishna,Krishna; Devaki; Vasudeva,Mathura,birth; auspiciousness; divine_manifestation,A,"Srimad Bhagavata Purana (Sanskrit, GRETIL)",10,3,1-7,Janmashtami,all,5,5,4,5,VP 5.3 also includes the four-armed form and withholding of it (see 'reveal_form').
DKS_0014,14,Krishna Reveals His Divine Form and Recalls Past Births,"The infant reveals a four-armed form bearing conch and discus; Vasudeva and Devaki praise him, and he recalls his earlier births to them before resuming an ordinary infant form.",birth,birth_of_krishna,Krishna; Vasudeva; Devaki,Mathura,theophany; devotion; remembrance,A,"Srimad Bhagavata Purana (Sanskrit, GRETIL)",10,3,8-45,Janmashtami,all,4,5,3,5,See also 'birth' (VP 5.3 folds this in).
DKS_0015,15,Kamsa Comes to Slay the Newborn Girl,"Awakened by the guards, Kamsa rushes to the prison and snatches the newborn girl from Devaki, who pleads for her life.",birth,birth_of_krishna,Kamsa; Devaki,Mathura,cruelty; mother's_plea,A,"Srimad Bhagavata Purana (Sanskrit, GRETIL)",10,4,1-6,,mild_violence,4,4,3,5,See also 'yogamaya_warn' (the dashing that follows).
DKS_0016,16,Uddhava Recalls Krishna's Birth and Removal to Vraja,"Uddhava recalls that Krishna was born of Vasudeva and Devaki in Bhoja's prison to relieve the earth's burden, and was carried by his father, fearing Kamsa, to Nanda's Vraja, where he lived hidden for eleven years with Balarama.",gokul,krishna_reaches_gokul,Krishna; Vasudeva; Devaki; Nanda; Balarama; Kamsa,Mathura; Nanda's Vraja,birth; removal to Gokula; protection; divine descent,A,"Srimad Bhagavata Purana (Sanskrit, GRETIL)",3,2,24-25,,all,4,3,4,5,"Compressed recollection spanning the birth and exchange (see 'birth','exchange')."
DKS_0017,17,Nanda Brings the Infants Home to Gokula,"Set at liberty, Vasudeva bids Nanda take both Krishna and Balarama to Gokula to be reared as his own sons; Nanda and the cowherds return with their waggons.",gokul,krishna_reaches_gokul,Vasudeva; Nanda; Krishna; Balarama,Mathura; Gokula,fosterage; return_home,A,Vishnu Purana (Wilson 1840),5,5,,,all,2,2,2,4,
DKS_0018,18,Vasudeva Carries Krishna Out of Prison Across the Yamuna,"Prompted by the Lord, Vasudeva carries the baby out; the prison doors open by themselves, Shesha shelters them from rain, and the Yamuna parts to give passage.",birth,krishna_reaches_gokul,Vasudeva; Krishna; Shesha,Mathura; Yamuna river,divine_escape; protection; miracle,A,"Srimad Bhagavata Purana (Sanskrit, GRETIL)",10,3,46-49,Janmashtami,all,5,5,4,5,VP 5.3 also includes the exchange at Gokula (see 'exchange').
DKS_0019,19,Vasudeva Exchanges Krishna for Yashoda's Daughter,Vasudeva places Krishna in Yasoda's bed in Nanda's Gokula and carries Yasoda's newborn daughter back to Mathura.,birth,krishna_reaches_gokul,Vasudeva; Krishna; Yasoda,Gokula; Mathura,exchange; concealment; destiny,A,"Srimad Bhagavata Purana (Sanskrit, GRETIL)",10,3,50-52,,all,4,4,3,5,
DKS_0020,20,Nanda Celebrates the Birth of His Son,"Nanda performs the birth rites with lavish gifts of cows and gold, and the whole of Gokula rejoices over the newborn child.",gokul,krishna_reaches_gokul,Nanda; Yasoda; Rohini; cowherds,Gokula,celebration; generosity; joy,A,"Srimad Bhagavata Purana (Sanskrit, GRETIL)",10,5,1-17,,all,3,4,2,5,
DKS_0021,21,Nanda Visits Mathura and Meets Vasudeva,"Nanda goes to Mathura to pay his annual tribute, and Vasudeva joyfully embraces him as a brother.",gokul,krishna_reaches_gokul,Nanda; Vasudeva,Mathura; Gokula,friendship; kinship,A,"Srimad Bhagavata Purana (Sanskrit, GRETIL)",10,5,18-20,,all,2,2,1,5,
DKS_0022,22,Vasudeva Warns Nanda of Danger in Gokula,"Vasudeva affectionately inquires after his sons and urges Nanda to return quickly to Gokula, for evil omens are gathering there.",gokul,krishna_reaches_gokul,Vasudeva; Nanda,Mathura; Gokula,forewarning; protection,A,"Srimad Bhagavata Purana (Sanskrit, GRETIL)",10,5,21-32,,all,3,3,2,5,
DKS_0023,23,Putana Enters Gokula Disguised as a Woman,"Kamsa's agent Putana, a demoness who kills infants, disguises herself as a beautiful woman and enters Nanda's village.",gokul,early_gokul_childhood,Putana; Kamsa,Gokula,deception; danger,A,"Srimad Bhagavata Purana (Sanskrit, GRETIL)",10,6,1-5,,mild_violence,4,4,3,5,See also 'putana_kill'.
DKS_0024,24,Krishna Drains the Demoness Putana's Life,"Putana offers the baby her poisoned breast, but Krishna sucks out her very life-breath, and she falls dead, revealing her true demon form.",gokul,early_gokul_childhood,Krishna; Putana,Gokula,protection; divine_power; justice,A,"Srimad Bhagavata Purana (Sanskrit, GRETIL)",10,6,6-12,,mild_violence,5,5,4,5,bpc1_032 is Uddhava's recollection of the same episode.
DKS_0025,25,The Villagers Burn Putana's Body,"The gopis perform protective rites over the child, and the cowherds cut up and burn Putana's vast corpse, from which rises a fragrant smoke, for she attained a mother's reward.",gokul,early_gokul_childhood,Krishna; Yasoda; Rohini; cowherds; Putana,Gokula,purification; grace,A,"Srimad Bhagavata Purana (Sanskrit, GRETIL)",10,6,13-33,,mild_violence,4,4,3,5,
DKS_0026,26,The Infant Krishna Overturns the Cart with His Foot,"During the birth ceremonies, the unattended infant kicks the great cart, shattering it and scattering its vessels, to the astonishment of all.",gokul,early_gokul_childhood,Krishna; Yasoda,Gokula,wonder; divine_strength,A,"Srimad Bhagavata Purana (Sanskrit, GRETIL)",10,7,3-16,,all,4,5,4,5,
DKS_0027,27,Trinavarta the Whirlwind Carries Off the Baby,"Kamsa's servant Trinavarta, in the form of a whirlwind, snatches the child away, blinding Gokula with dust as Yasoda searches in vain.",gokul,early_gokul_childhood,Trinavarta; Krishna; Yasoda,Gokula,danger; separation,A,"Srimad Bhagavata Purana (Sanskrit, GRETIL)",10,7,17-24,,mild_violence,4,4,3,5,
DKS_0028,28,Trinavarta Is Crushed by the Child's Weight,"Unable to carry the ever-heavier baby through the sky, Trinavarta falls onto a rock and is crushed, while the child is found safe on his chest.",gokul,early_gokul_childhood,Krishna; Trinavarta,Gokula,divine_power; rescue,A,"Srimad Bhagavata Purana (Sanskrit, GRETIL)",10,7,25-32,,mild_violence,5,5,4,5,
DKS_0029,29,Yasoda Sees the Universe in the Nursing Child's Mouth,"As Yasoda nurses the yawning child, she glimpses the whole cosmos within his open mouth and trembles in wonder.",gokul,early_gokul_childhood,Krishna; Yasoda,Gokula,cosmic_vision; wonder,A,"Srimad Bhagavata Purana (Sanskrit, GRETIL)",10,7,33-37,,all,4,5,3,5,
DKS_0030,30,Garga Secretly Names Rama and Krishna,"The family priest Garga, sent by Vasudeva, secretly performs the naming ceremony, calling the boys Rama and Krishna, and foretells their glories.",gokul,early_gokul_childhood,Garga; Nanda; Krishna; Balarama,Gokula,naming; prophecy; concealment,A,"Srimad Bhagavata Purana (Sanskrit, GRETIL)",10,8,1-19,,all,3,3,2,5,
DKS_0031,31,Krishna and Rama's Childhood Pranks and Butter-Stealing,"The two boys crawl and toddle about Gokula, and Krishna steals butter and curds from the gopis' homes with playful tricks.",gokul,early_gokul_childhood,Krishna; Balarama; gopis,Gokula,playfulness; mischief,A,"Srimad Bhagavata Purana (Sanskrit, GRETIL)",10,8,20-30,,all,4,4,3,5,
DKS_0032,32,Krishna Eats Mud and Shows the Cosmos in His Mouth,"Accused of eating dirt, Krishna opens his mouth before Yasoda, who sees the entire universe within it and is overwhelmed.",gokul,early_gokul_childhood,Krishna; Yasoda,Gokula,cosmic_vision; mother's_love,A,"Srimad Bhagavata Purana (Sanskrit, GRETIL)",10,8,31-45,,all,4,5,4,5,
DKS_0033,33,Krishna Breaks the Butter Pot,"While Yasoda churns, the hungry child climbs onto her lap; when she leaves, he breaks the churn-pot, steals the butter and feeds it to the monkeys, then flees as she chases him.",gokul,early_gokul_childhood,Krishna; Yasoda,Gokula,mischief; mother's_chase,A,"Srimad Bhagavata Purana (Sanskrit, GRETIL)",10,9,1-10,,all,4,4,3,5,
DKS_0034,34,Yasoda Binds Krishna to the Mortar,"Yasoda tries to tie the mischievous Krishna with a rope, but every rope falls short by two fingers, until, moved by her effort, he lets himself be bound.",gokul,early_gokul_childhood,Krishna; Yasoda,Gokula,surrender; mother's_love,A,"Srimad Bhagavata Purana (Sanskrit, GRETIL)",10,9,11-20,,all,4,4,3,5,HV 1.62 and VP 5.6 fold this binding into the uprooting episode (see 'uproot_trees').
DKS_0035,35,Krishna Uproots the Twin Arjuna Trees (Named Damodara),"Dragging the mortar to which he is tied, the crawling Krishna passes between the two trees and uproots them.",gokul,early_gokul_childhood,Krishna,Gokula,liberation; divine_strength,A,"Srimad Bhagavata Purana (Sanskrit, GRETIL)",10,10,23-26,,all,4,5,4,5,HV/VP fold in the mortar-binding beat.
DKS_0036,36,The Two Devotees Are Liberated from the Trees,"From the fallen trees emerge two radiant beings who bow to Krishna, praise him, and, released from their curse, depart to the north.",gokul,early_gokul_childhood,Nalakuvara; Manigriva; Krishna,Gokula,liberation; devotion,A,"Srimad Bhagavata Purana (Sanskrit, GRETIL)",10,10,27-43,,all,4,4,3,5,
DKS_0037,37,The Fruit-Seller Receives a Gift of Jewels,"Krishna takes grain to barter for fruit, but the fruit-seller's basket fills with gems as her fruit spills into his hands.",gokul,early_gokul_childhood,Krishna; fruit-seller,Gokula,grace; generosity,A,"Srimad Bhagavata Purana (Sanskrit, GRETIL)",10,11,6-10,,all,3,3,3,5,
DKS_0038,38,The Cowherds Decide to Migrate to Vrindavan,"Citing the many evil omens that have befallen Gokula, the elder Upananda persuades the cowherds to migrate with their herds.",gokul,early_gokul_childhood,Upananda; Nanda; cowherds,Gokula,prudence; community,A,"Srimad Bhagavata Purana (Sanskrit, GRETIL)",10,11,20-30,,all,3,2,2,5,"BP: prompted by Upananda citing omens; VP: alarmed by Putana's death, the waggon and the trees."
DKS_0039,39,Krishna Conjures Wolves to Move the Milkmen to Vrindavan,"Desiring a new forest, Krishna produces hundreds of wolves from his body to terrify the milkmen so they will abandon Vraja for Vrindavan.",vrindavan,vrindavan_childhood,Krishna; Sangkarshana; milkmen,Vraja; Vrindavan; Govardhana,divine play; migration,A,"Harivamsha (Dutt, Gutenberg #61937)",1,58,,,all,3,4,3,4,HV's version of the migration; BP/VP attribute the move to omens/portents instead (see 'migrate_decision').
DKS_0040,40,Uddhava Recalls Krishna's Cowherd Childhood and Kamsa's Demons,"Uddhava recalls Krishna's childhood in Vraja — herding calves and cows with the cowherd boys on the Yamuna, playing the flute — and how he playfully defeated the shape-shifting demons Kamsa sent against him.",vrindavan,vrindavan_childhood,Krishna; Balarama; the cowherd boys; Kamsa's demons,Vrindavan; the Yamuna groves,childhood play; the flute; demon-slaying,A,"Srimad Bhagavata Purana (Sanskrit, GRETIL)",3,2,26-29,,all,3,4,3,5,General recollection; see specific demon episodes.
DKS_0041,41,Krishna Notices the Twin Arjuna Trees,"While his mother is busy, Krishna sees the two arjuna trees that were once the guhyaka sons of Kubera, Nalakuvara and Manigriva.",gokul,vrindavan_childhood,Krishna; Nalakuvara; Manigriva,Gokula,curiosity; foreshadowing,A,"Srimad Bhagavata Purana (Sanskrit, GRETIL)",10,9,21-22,,all,3,3,2,5,
